,Close,Date,High,Low,Open
736573.0,5.164e-05,736573.0,5.522e-05,5.16e-05,5.509e-05
736574.0,4.953e-05,736574.0,5.17e-05,4.892e-05,5.161e-05
736575.0,4.993e-05,736575.0,5.067e-05,4.877e-05,4.952e-05
736576.0,4.845e-05,736576.0,5.014e-05,4.54e-05,4.993e-05
736577.0,4.928e-05,736577.0,5.032e-05,4.773e-05,4.817e-05
736578.0,5.011e-05,736578.0,5.068e-05,4.86e-05,4.927e-05
736579.0,4.906e-05,736579.0,5.047e-05,4.832e-05,5.03e-05
736580.0,4.901e-05,736580.0,4.994e-05,4.805e-05,4.919e-05
736581.0,4.905e-05,736581.0,4.996e-05,4.869e-05,4.92e-05
736582.0,5.109e-05,736582.0,5.219e-05,4.891e-05,4.905e-05
736583.0,5.093e-05,736583.0,5.276e-05,4.94e-05,5.107e-05
736584.0,5.028e-05,736584.0,5.2e-05,4.974e-05,5.099e-05
736585.0,5.092e-05,736585.0,5.145e-05,4.98e-05,5.02e-05
736586.0,5.29e-05,736586.0,5.417e-05,4.985e-05,5.093e-05
736587.0,4.999e-05,736587.0,5.516e-05,4.805e-05,5.29e-05
736588.0,4.936e-05,736588.0,5.007e-05,4.886e-05,4.999e-05
736589.0,4.93e-05,736589.0,4.99e-05,4.84e-05,4.953e-05
736590.0,4.75e-05,736590.0,4.93e-05,4.65e-05,4.93e-05
736591.0,4.731e-05,736591.0,4.79e-05,4.618e-05,4.75e-05
736592.0,4.66e-05,736592.0,4.738e-05,4.629e-05,4.735e-05
736593.0,4.747e-05,736593.0,4.8e-05,4.642e-05,4.662e-05
736594.0,4.78e-05,736594.0,4.786e-05,4.666e-05,4.747e-05
736595.0,4.711e-05,736595.0,4.784e-05,4.687e-05,4.78e-05
736596.0,4.795e-05,736596.0,4.797e-05,4.698e-05,4.722e-05
736597.0,4.709e-05,736597.0,4.796e-05,4.679e-05,4.792e-05
736598.0,4.874e-05,736598.0,4.972e-05,4.67e-05,4.71e-05
736599.0,4.974e-05,736599.0,5.249e-05,4.796e-05,4.874e-05
736600.0,4.824e-05,736600.0,5.033e-05,4.715e-05,4.974e-05
736601.0,4.73e-05,736601.0,4.845e-05,4.651e-05,4.825e-05
736602.0,4.583e-05,736602.0,4.806e-05,4.5e-05,4.744e-05
736603.0,4.734e-05,736603.0,4.74e-05,4.53e-05,4.598e-05
736604.0,4.609e-05,736604.0,4.775e-05,4.514e-05,4.735e-05
736605.0,4.71e-05,736605.0,4.754e-05,4.594e-05,4.609e-05
736606.0,5.06e-05,736606.0,5.16e-05,4.695e-05,4.71e-05
736607.0,5.511e-05,736607.0,5.65e-05,5.037e-05,5.06e-05
736608.0,5.368e-05,736608.0,5.564e-05,5.259e-05,5.517e-05
736609.0,5.412e-05,736609.0,5.5e-05,5.332e-05,5.368e-05
736610.0,6.1e-05,736610.0,6.15e-05,5.35e-05,5.411e-05
736611.0,5.227e-05,736611.0,6.108e-05,4.8e-05,6.099e-05
736612.0,5.43e-05,736612.0,5.6e-05,4.919e-05,5.229e-05
736613.0,5.45e-05,736613.0,5.565e-05,5.266e-05,5.423e-05
736614.0,4.498e-05,736614.0,5.489e-05,4.498e-05,5.45e-05
736615.0,4.602e-05,736615.0,4.693e-05,4e-05,4.498e-05
736616.0,4.35e-05,736616.0,4.795e-05,4.3e-05,4.61e-05
736617.0,4.643e-05,736617.0,4.9e-05,4.306e-05,4.36e-05
736618.0,4.491e-05,736618.0,5.329e-05,4.27e-05,4.635e-05
736619.0,4.079e-05,736619.0,4.639e-05,3.72e-05,4.491e-05
736620.0,3.885e-05,736620.0,4.288e-05,3.75e-05,4.079e-05
736621.0,3.749e-05,736621.0,4.113e-05,3.59e-05,3.885e-05
736622.0,3.46e-05,736622.0,3.931e-05,3.385e-05,3.749e-05
736623.0,3.488e-05,736623.0,3.509e-05,3.214e-05,3.46e-05
736624.0,3.366e-05,736624.0,3.512e-05,3.3e-05,3.488e-05
736625.0,3.195e-05,736625.0,3.38e-05,3.106e-05,3.366e-05
736626.0,3.7e-05,736626.0,3.845e-05,3.072e-05,3.195e-05
736627.0,3.501e-05,736627.0,3.735e-05,3.478e-05,3.7e-05
736628.0,3.415e-05,736628.0,3.58e-05,3.356e-05,3.508e-05
736629.0,3.48e-05,736629.0,3.529e-05,3.371e-05,3.415e-05
736630.0,3.451e-05,736630.0,3.517e-05,3.41e-05,3.471e-05
736631.0,3.291e-05,736631.0,3.501e-05,3.218e-05,3.45e-05
736632.0,3.295e-05,736632.0,3.371e-05,3.26e-05,3.291e-05
736633.0,3.072e-05,736633.0,3.332e-05,3.048e-05,3.295e-05
736634.0,2.83e-05,736634.0,3.257e-05,2.822e-05,3.077e-05
736635.0,2.865e-05,736635.0,3.05e-05,2.439e-05,2.829e-05
736636.0,2.874e-05,736636.0,4.016e-05,2.62e-05,2.865e-05
736637.0,2.734e-05,736637.0,2.912e-05,2.689e-05,2.873e-05
736638.0,2.696e-05,736638.0,2.75e-05,2.615e-05,2.734e-05
736639.0,2.9e-05,736639.0,2.931e-05,2.692e-05,2.696e-05
736640.0,2.899e-05,736640.0,2.91e-05,2.788e-05,2.9e-05
736641.0,2.934e-05,736641.0,3.022e-05,2.7e-05,2.889e-05
736642.0,3.035e-05,736642.0,3.1e-05,2.92e-05,2.925e-05
736643.0,3.098e-05,736643.0,3.192e-05,2.955e-05,3.035e-05
736644.0,3.305e-05,736644.0,3.411e-05,3.03e-05,3.1e-05
736645.0,3.273e-05,736645.0,3.55e-05,2.948e-05,3.308e-05
